tx_hash,tx_from,tx_to,protocol,protocol_version,src_token_symbol,dst_token_symbol,src_token_amount,dst_token_amount,src_token_decimals,dst_token_decimals,amount_usd,tokens,transfers
0x6f2c8401ef8efaa65cb1fd706ac0a87e93dfacdff8c0ef3d2e40d75d53da8dfb,0x8a25d8c9fa8c7a726137f2d618d85cbc2c083f78,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,USDT,210283688542,210213503324,6,6,210457.98162836581,2,2
0x0e8de3e322d9c36cd2a2d65c7c0c3c73cde1e528f27bf76dfb7c0b4985ea4fd1,0xffab14b181409170378471b13ff2bff5be012c64,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,wstETH,ETH,60538077983141131545,70068165351476682112,18,18,210343.93170347947,3,6
0xccbca320e355b5a3526e8bb3344bce3508d818c34ce0cafac604015a2b798d23,0x439b5e3b9af606327558add370197d3a7c492d7b,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,GHO,USDT,210678383360925868098975,210045441262,18,6,210305.48262237705,4,8
0xe7b48228e125098796bfb798419c4d1bbeaa558720d4ed5b57c50de7b0ab3bc1,0x8d0521c7748e47369794cd346fb61ad31b0a2b03,0x0b8a49d816cc709b6eadb09498030ae3416b66dc,LOP,3,USDC,wstETH,210000000000,54954037238318033624,6,18,210287.66843652018,3,10
0x9e6f8fcfa34d565f5b815650e8fc1496a55bd965a76bd7df99c6406b5805b523,0x8129d4010a676a660502a4770d8a97f8d1788e5f,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,ETH,210000000000,69231902094874895574,6,18,210259.35000000003,3,10
0xdd3b1cf740246f023aedfcaae20b0176642c2a2a4d2cb8efc6781363754b9116,0xfc9928f6590d853752824b0b403a6ae36785e535,0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,LOP,3,rETH,USDC,54906579847459725031,210292036096,18,6,210249.3468126725,2,2
0x98f2387a0151842b1d9a75f239279d8ffafd913d660c3695f9b5fd674bf464e2,0x25b44a93caadfaffb569901c4745bcb80cd1dac5,0x111111125421ca6dc452d289314280a0f8842a65,AR,6,FXS,USDT,23152773481000000000000,208373921484,18,6,210227.18320748,5,17
0x694fd93149848ab65389d5de33851c4e53c40a49629697818dcfaaaf904320b0,0x3ad0603ed5f5fc8d2c77360534a477ae41d7811a,0x874d26f8f5dd55ee1a4167c49965b991c1c9530a,LOP,3,USDC,USDT,210000000000,210182041195,6,6,210224.49,2,5
0xc6406ccec52755b95b4019e0a6a4408ce666623c28ed26f50fa5e6768c21e812,0xffe24093cb617fea6154724105cf851f25056017,0x1111111254eeb25477b68fb85ed929f73a960582,LOP,3,USDC,WBTC,208847014653,410000027,6,8,210189.71184176058,2,2
0x8488f009d67074bf55d1ed236eec451e0506dd66016c96abc59e86fffcfb0e93,0x3ad0603ed5f5fc8d2c77360534a477ae41d7811a,0x874d26f8f5dd55ee1a4167c49965b991c1c9530a,LOP,3,USDC,USDT,210105183841,210000131250,6,6,210165.27392357853,2,2
0xe7b48228e125098796bfb798419c4d1bbeaa558720d4ed5b57c50de7b0ab3bc1,0x8d0521c7748e47369794cd346fb61ad31b0a2b03,0x0b8a49d816cc709b6eadb09498030ae3416b66dc,AR,5,USDC,WETH,210000000000,55007376780149478304,6,18,210061.95,3,4
0xedfb1e09759f929f5a8377112553166158c1f401049c879577217f5921d308da,0xf212ce21a97dbe30999a4c2b309d278bccbb686a,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,USDC,WBTC,210000000000,374744299,6,8,210054.39,4,14
0x1c007284d792d0a647b1318460dba6c2299c553b610a82cb4db9b580b953e025,0xb4437fa5c4d651be6d4022aa62a81336f85320cf,0x1111111254eeb25477b68fb85ed929f73a960582,AR,5,PRIME,USDC,19287662971173600459406,209846365276,18,6,209888.3345490552,4,10
0xd005c6f1c7bda0583a67f95ba9792db840642bd0ade22b18a72e89bf0699dd1f,0x984425ed5af89d93ed2f11b6b86020e3457bae21,0x1111111254eeb25477b68fb85ed929f73a960582,LOP,3,WETH,USDT,64153169971183417176,209857775290,18,6,209876.6624897761,2,2
